t0;50;;Nombre Delta;108;;Max Delta;657
alpha;0.6;;Nombre Degradation;25;;Moyenne Exp;0.350296
nbPalier;8;;Nombre Temperature;8;;Moyenne Delta;157
nbEvalMax;100

Temp;Delta < 0;Delta > 0 && Non;Delta > 0 && Oui
50;11;0;2
30;6;0;6
18;6;1;5
10.8;4;5;3
6.48;4;4;4
3.888;4;4;4
2.3328;3;9;0
1.39968;4;18;1



numInc;Delta;Temp;exp(-d/T);degradation
0;-179;50;-1;-1
1;-157;50;-1;-1
2;-42;50;-1;-1
3;-7;50;-1;-1
4;-13;50;-1;-1
5;-124;50;-1;-1
6;-17;50;-1;-1
7;-23;50;-1;-1
8;-15;50;-1;-1
9;-6;50;-1;-1
10;4;50;0.923116;1
11;-4;50;-1;-1
12;4;30;0.875173;1
13;-4;30;-1;-1
14;4;30;0.875173;1
15;-4;30;-1;-1
16;4;30;0.875173;1
17;-4;30;-1;-1
18;4;30;0.875173;1
19;-4;30;-1;-1
20;4;30;0.875173;1
21;-4;30;-1;-1
22;4;30;0.875173;1
23;-4;30;-1;-1
24;4;18;0.800737;1
25;-4;18;-1;-1
26;4;18;0.800737;1
27;-4;18;-1;-1
28;4;18;0.800737;1
29;-4;18;-1;-1
30;4;18;0.800737;1
31;-4;18;-1;-1
32;4;18;0.800737;1
33;-4;18;-1;-1
34;4;18;0.800737;1
35;-4;18;-1;-1
36;4;10.8;0.690479;0
37;27;10.8;0.082085;0
38;253;10.8;6.7027e-11;0
39;480;10.8;4.98911e-20;0
40;184;10.8;3.98941e-08;0
41;228;10.8;6.78517e-10;0
42;-35;10.8;-1;-1
43;1;10.8;0.911565;1
44;-1;10.8;-1;-1
45;1;10.8;0.911565;1
46;-1;10.8;-1;-1
47;1;10.8;0.911565;1
48;-1;6.48;-1;-1
49;1;6.48;0.856997;1
50;-1;6.48;-1;-1
51;1;6.48;0.856997;1
52;-1;6.48;-1;-1
53;1;6.48;0.856997;1
54;-1;6.48;-1;-1
55;1;6.48;0.856997;1
56;-1;6.48;-1;-1
57;1;6.48;0.856997;0
58;47;6.48;0.000707986;0
59;395;6.48;3.36359e-27;0
60;253;3.888;5.49013e-29;0
61;617;3.888;1.20317e-69;0
62;145;3.888;6.35796e-17;0
63;190;3.888;5.98083e-22;0
64;499;3.888;1.8242e-56;0
65;-51;3.888;-1;-1
66;1;3.888;0.773212;1
67;-1;3.888;-1;-1
68;1;3.888;0.773212;1
69;-1;3.888;-1;-1
70;1;3.888;0.773212;1
71;-1;3.888;-1;-1
72;1;2.3328;0.651375;1
73;-1;2.3328;-1;-1
74;1;2.3328;0.651375;0
75;230;2.3328;1.5177e-43;0
76;248;2.3328;6.76313e-47;0
77;153;2.3328;3.28231e-29;0
78;147;2.3328;4.29727e-28;0
79;239;2.3328;3.20381e-45;0
80;116;2.3328;2.5376e-22;0
81;227;2.3328;5.49151e-43;0
82;253;2.3328;7.93056e-48;0
83;-61;2.3328;-1;-1
84;-7;1.39968;-1;-1
85;1;1.39968;0.489462;0
86;372;1.39968;3.76157e-116;0
87;339;1.39968;6.52606e-106;0
88;104;1.39968;5.37958e-33;0
89;174;1.39968;1.02579e-54;0
90;323;1.39968;6.01383e-101;0
91;283;1.39968;1.55025e-88;0
92;437;1.39968;2.55321e-136;0
93;9;1.39968;0.00161238;0
94;351;1.39968;1.23389e-109;0
95;-73;1.39968;-1;-1
96;-51;1.39968;-1;-1
97;-3;1.39968;-1;-1
98;3;1.39968;0.117262;1
99;-3;1.39968;-1;-1
100;3;1.39968;0.117262;0
101;657;1.39968;1.39704e-204;0
102;275;1.39968;4.706e-86;0
103;460;1.39968;1.86474e-143;0
104;375;1.39968;4.41088e-117;0
105;360;1.39968;1.9895e-112;0
106;479;1.39968;2.37287e-149;0
107;411;1.39968;2.98126e-128;0
